Countyname,R0,E0,I0,PCR_pos_samplingbias,PCR_pos_sample_clustering,PCR_pos_reporting_clustering,PCR_pos_reporting_rate,EffPopSize,IFR,PosteriorpredicitveP
Samburu,"1.76 (1.66, 1.87)","0.486 (0.0109, 1.79)","0.487 (0.0102, 1.8)","1.35 (0.39, 3.43)","20.2 (7.88, 39.4)","0.505 (0.108, 1.2)","4.36e-5 (1.03e-6, 0.000174)","0.438 (0.138, 0.929)","0.00162% (0.000556%, 0.00412%)",0.656
Siaya,"1.81 (1.74, 1.89)","0.805 (0.0287, 2.66)","0.945 (0.0443, 2.81)","1.07 (0.373, 2.77)","17.9 (8.86, 31.1)","2.01 (1.13, 3.18)","6.67e-5 (2.39e-5, 0.000156)","0.524 (0.182, 0.954)","0.00172% (0.000718%, 0.00429%)",0.509
Taita Taveta,"1.84 (1.75, 1.93)","0.913 (0.0298, 2.82)","1.12 (0.0624, 2.95)","2.44 (0.972, 4.83)","25.1 (15.4, 37.9)","0.495 (0.1, 1.21)","0.0001 (2.72e-6, 0.00037)","0.207 (0.0941, 0.408)","0.00536% (0.00227%, 0.0104%)",0.775
Tana River,"1.75 (1.61, 1.93)","0.505 (0.0119, 1.82)","0.489 (0.014, 1.78)","1.58 (0.497, 3.77)","6.63 (1.92, 16.7)","0.5 (0.104, 1.2)","9.88e-5 (2.41e-6, 0.000361)","0.673 (0.287, 0.984)","0.00149% (0.000625%, 0.0035%)",0.634
Tharaka Nithi,"1.68 (1.58, 1.8)","0.511 (0.014, 1.84)","0.514 (0.0135, 1.92)","1.87 (0.712, 4.24)","11.4 (4.44, 22.6)","0.498 (0.103, 1.21)","4.69e-5 (1.12e-6, 0.00018)","0.654 (0.277, 0.98)","0.00429% (0.00209%, 0.00966%)",0.562
Trans Nzoia,"1.75 (1.67, 1.85)","0.554 (0.0164, 1.9)","0.559 (0.0179, 1.96)","1.65 (0.581, 3.83)","8.55 (4.48, 14.5)","0.559 (0.125, 1.31)","2.95e-5 (5.53e-6, 8.46e-5)","0.487 (0.185, 0.934)","0.00149% (0.000599%, 0.00341%)",0.774
Turkana,"1.73 (1.66, 1.81)","0.672 (0.0234, 2.2)","0.721 (0.0306, 2.29)","1.56 (0.761, 3.28)","21.3 (10.6, 37.1)","1.45 (0.661, 2.55)","0.00015 (6.17e-5, 0.000306)","0.661 (0.319, 0.979)","0.00215% (0.0012%, 0.0043%)",0.795
Uasin Gishu,"1.73 (1.68, 1.79)","6.23 (0.212, 19.3)","6.1 (0.245, 17.7)","1.28 (0.605, 2.72)","45.3 (29.4, 65.5)","0.894 (0.553, 1.32)","0.000159 (7.93e-5, 0.000306)","0.591 (0.271, 0.958)","0.00617% (0.00328%, 0.0124%)",0.488
Vihiga,"1.73 (1.65, 1.82)","4.75 (0.129, 17.4)","4.53 (0.101, 16.7)","1.28 (0.547, 2.9)","14.6 (5.95, 29.5)","0.582 (0.227, 1.07)","3.45e-5 (1.09e-5, 8.67e-5)","0.621 (0.249, 0.976)","0.00126% (0.000664%, 0.00279%)",0.804
Wajir,"1.81 (1.73, 1.89)","0.702 (0.0263, 2.3)","0.769 (0.0309, 2.38)","2.02 (0.799, 4.41)","16.2 (5.31, 35.6)","0.527 (0.11, 1.23)","0.000103 (4.08e-5, 0.000225)","0.553 (0.221, 0.952)","0.0013% (0.00062%, 0.00282%)",0.786
West Pokot,"1.89 (1.82, 1.98)","0.608 (0.0185, 2.09)","0.626 (0.0181, 2.09)","2.59 (1.54, 4.82)","9.73 (5.83, 15.3)","0.507 (0.102, 1.2)","2.84e-6 (7.11e-8, 1.13e-5)","0.732 (0.393, 0.986)","0.000423% (0.000288%, 0.00075%)",0.653
